x upper lower
0 1.12 -1.12
0.0025 1.14356 -1.14356
0.005 1.16711 -1.16711
0.0075 1.19063 -1.19063
0.01 1.21412 -1.21412
0.0125 1.23757 -1.23757
0.015 1.26095 -1.26095
0.0175 1.28427 -1.28427
0.02 1.30751 -1.30751
0.0225 1.33065 -1.33065
0.025 1.35369 -1.35369
0.0275 1.37661 -1.37661
0.03 1.39941 -1.39941
0.0325 1.42207 -1.42207
0.035 1.44459 -1.44459
0.0375 1.46694 -1.46694
0.04 1.48913 -1.48913
0.0425 1.51113 -1.51113
0.045 1.53295 -1.53295
0.0475 1.55456 -1.55456
0.05 1.57596 -1.57596
0.0525 1.59714 -1.59714
0.055 1.61809 -1.61809
0.0575 1.6388 -1.6388
0.06 1.65926 -1.65926
0.0625 1.67946 -1.67946
0.065 1.69939 -1.69939
0.0675 1.71904 -1.71904
0.07 1.73841 -1.73841
0.0725 1.75748 -1.75748
0.075 1.77624 -1.77624
0.0775 1.7947 -1.7947
0.08 1.81284 -1.81284
0.0825 1.83064 -1.83064
0.085 1.84812 -1.84812
0.0875 1.86525 -1.86525
0.09 1.88203 -1.88203
0.0925 1.89846 -1.89846
0.095 1.91453 -1.91453
0.0975 1.93023 -1.93023
0.1 1.94555 -1.94555
0.1025 1.96049 -1.96049
0.105 1.97505 -1.97505
0.1075 1.98922 -1.98922
0.11 2.003 -2.003
0.1125 2.01637 -2.01637
0.115 2.02934 -2.02934
0.1175 2.0419 -2.0419
0.12 2.05405 -2.05405
0.1225 2.06579 -2.06579
0.125 2.07711 -2.07711
0.1275 2.088 -2.088
0.13 2.09848 -2.09848
0.1325 2.10852 -2.10852
0.135 2.11814 -2.11814
0.1375 2.12733 -2.12733
0.14 2.13609 -2.13609
0.1425 2.14441 -2.14441
0.145 2.1523 -2.1523
0.1475 2.15976 -2.15976
0.15 2.16678 -2.16678
0.1525 2.17337 -2.17337
0.155 2.17952 -2.17952
0.1575 2.18525 -2.18525
0.16 2.19053 -2.19053
0.1625 2.19539 -2.19539
0.165 2.19982 -2.19982
0.1675 2.20382 -2.20382
0.17 2.20739 -2.20739
0.1725 2.21054 -2.21054
0.175 2.21326 -2.21326
0.1775 2.21557 -2.21557
0.18 2.21746 -2.21746
0.1825 2.21893 -2.21893
0.185 2.22 -2.22
0.1875 2.22066 -2.22066
0.19 2.22091 -2.22091
0.1925 2.22077 -2.22077
0.195 2.22024 -2.22024
0.1975 2.21931 -2.21931
0.2 2.218 -2.218
0.2025 2.21631 -2.21631
0.205 2.21425 -2.21425
0.2075 2.21182 -2.21182
0.21 2.20902 -2.20902
0.2125 2.20587 -2.20587
0.215 2.20236 -2.20236
0.2175 2.19851 -2.19851
0.22 2.19432 -2.19432
0.2225 2.18979 -2.18979
0.225 2.18494 -2.18494
0.2275 2.17977 -2.17977
0.23 2.17429 -2.17429
0.2325 2.1685 -2.1685
