# <|sin phi|> (wide & narrow) vs v=L/T1, all combos
sin_wide sin_narrow v Deff m beta delta
0.642126 0.267874 0.51836 0.216153 3 0.5 0.333333
0.623317 0.256107 0.537515 0.21882 3 0.5 1
0.598255 0.259215 0.587121 0.23595 3 0.5 2
0.570921 0.262434 0.605151 0.240514 3 0.5 3
0.519694 0.248406 0.661719 0.259844 3 0.5 5
0.409476 0.237667 0.791374 0.265638 3 0.5 10
0.665556 0.272826 0.481479 0.202403 3 1 0.333333
0.630554 0.262084 0.537637 0.235052 3 1 1
0.578543 0.257561 0.657761 0.261647 3 1 2
0.526877 0.252548 0.693186 0.272028 3 1 3
0.434684 0.237625 0.811499 0.320899 3 1 5
0.29281 0.219227 0.948027 0.389262 3 1 10
0.734681 0.275134 0.394544 0.174559 3 2 0.333333
0.673835 0.266804 0.487105 0.209299 3 2 1
0.568093 0.260885 0.627886 0.23645 3 2 2
0.474372 0.246221 0.717537 0.325348 3 2 3
0.338446 0.230049 0.848212 0.346507 3 2 5
0.211118 0.186961 0.917435 0.326737 3 2 10
0.792511 0.284872 0.291217 0.134656 3 3 0.333333
0.71292 0.277023 0.413205 0.155624 3 3 1
0.571117 0.259251 0.604665 0.25454 3 3 2
0.440655 0.249586 0.773267 0.302846 3 3 3
0.29045 0.21846 0.923674 0.347135 3 3 5
0.179642 0.166549 0.970851 0.381977 3 3 10
0.642048 0.248895 0.26014 0.114735 6 0.5 0.333333
0.625463 0.252145 0.286773 0.115722 6 0.5 1
0.599986 0.249794 0.308938 0.1252 6 0.5 2
0.571707 0.24468 0.331851 0.151654 6 0.5 3
0.52346 0.241671 0.369958 0.148053 6 0.5 5
0.410535 0.226396 0.463744 0.185069 6 0.5 10
0.667939 0.249859 0.259598 0.115659 6 1 0.333333
0.634202 0.248916 0.263987 0.112306 6 1 1
0.580912 0.247736 0.30411 0.130517 6 1 2
0.52743 0.2426 0.355996 0.136138 6 1 3
0.43632 0.228155 0.443559 0.160934 6 1 5
0.293928 0.205482 0.52234 0.204613 6 1 10
0.736274 0.261212 0.18453 0.0787649 6 2 0.333333
0.671195 0.258211 0.248886 0.12021 6 2 1
0.571814 0.243826 0.329265 0.147587 6 2 2
0.475493 0.237661 0.430128 0.198988 6 2 3
0.340687 0.21846 0.49114 0.193816 6 2 5
0.210929 0.182344 0.596669 0.228184 6 2 10
0.79356 0.276752 0.145227 0.0667611 6 3 0.333333
0.713087 0.271453 0.212486 0.0980138 6 3 1
0.56994 0.25468 0.329168 0.134912 6 3 2
0.441716 0.241684 0.438977 0.174284 6 3 3
0.290283 0.211265 0.522849 0.200201 6 3 5
0.180589 0.164816 0.557877 0.217959 6 3 10
