sin_wide sin_narrow v Deff m beta delta
0.642048 0.248895 0.26014 0.114735 6 0.5 0.333333
0.625463 0.252145 0.286773 0.115722 6 0.5 1
0.599986 0.249794 0.308938 0.1252 6 0.5 2
0.571707 0.24468 0.331851 0.151654 6 0.5 3
0.52346 0.241671 0.369958 0.148053 6 0.5 5
0.410535 0.226396 0.463744 0.185069 6 0.5 10
0.667939 0.249859 0.259598 0.115659 6 1 0.333333
0.634202 0.248916 0.263987 0.112306 6 1 1
0.580912 0.247736 0.30411 0.130517 6 1 2
0.52743 0.2426 0.355996 0.136138 6 1 3
0.43632 0.228155 0.443559 0.160934 6 1 5
0.293928 0.205482 0.52234 0.204613 6 1 10
0.736274 0.261212 0.18453 0.0787649 6 2 0.333333
0.671195 0.258211 0.248886 0.12021 6 2 1
0.571814 0.243826 0.329265 0.147587 6 2 2
0.475493 0.237661 0.430128 0.198988 6 2 3
0.340687 0.21846 0.49114 0.193816 6 2 5
0.210929 0.182344 0.596669 0.228184 6 2 10
0.79356 0.276752 0.145227 0.0667611 6 3 0.333333
0.713087 0.271453 0.212486 0.0980138 6 3 1
0.56994 0.25468 0.329168 0.134912 6 3 2
0.441716 0.241684 0.438977 0.174284 6 3 3
0.290283 0.211265 0.522849 0.200201 6 3 5
0.180589 0.164816 0.557877 0.217959 6 3 10
