# v(beta,delta) for m=6. blank line separates beta scans
delta log2delta beta v Deff mu
0.333333 -1.58496 0.5 0.26014 0.114735 0.026014
1 0 0.5 0.286773 0.115722 0.0286773
2 1 0.5 0.308938 0.1252 0.0308938
3 1.58496 0.5 0.331851 0.151654 0.0331851
5 2.32193 0.5 0.369958 0.148053 0.0369958
10 3.32193 0.5 0.463744 0.185069 0.0463744

0.333333 -1.58496 1 0.259598 0.115659 0.0259598
1 0 1 0.263987 0.112306 0.0263987
2 1 1 0.30411 0.130517 0.030411
3 1.58496 1 0.355996 0.136138 0.0355996
5 2.32193 1 0.443559 0.160934 0.0443559
10 3.32193 1 0.52234 0.204613 0.052234

0.333333 -1.58496 2 0.18453 0.0787649 0.018453
1 0 2 0.248886 0.12021 0.0248886
2 1 2 0.329265 0.147587 0.0329265
3 1.58496 2 0.430128 0.198988 0.0430128
5 2.32193 2 0.49114 0.193816 0.049114
10 3.32193 2 0.596669 0.228184 0.0596669

0.333333 -1.58496 3 0.145227 0.0667611 0.0145227
1 0 3 0.212486 0.0980138 0.0212486
2 1 3 0.329168 0.134912 0.0329168
3 1.58496 3 0.438977 0.174284 0.0438977
5 2.32193 3 0.522849 0.200201 0.0522849
10 3.32193 3 0.557877 0.217959 0.0557877

