# P(phi) [1/rad] at narrow section, m=6 beta=1
# columns d033 d1 d2 d3 d5 d10 = delta values
phi_deg d0333333 d1 d2 d3 d5 d10
5 0.616537 0.613883 0.59972 0.651359 0.69778 0.804809
15 0.594326 0.613883 0.58724 0.56789 0.66303 0.615517
25 0.395962 0.409992 0.403511 0.377848 0.33638 0.288385
35 0.157006 0.153839 0.131037 0.138619 0.1112 0.0514519
45 0.00612707 0.00736071 0.00485322 0.00298105 0.002085 0
55 0 0 0 0 0 0
65 0 0 0 0 0 0.000635208
75 0 0 0 0 0 0
85 0 0 0 0 0 0
95 0 0 0 0 0 0
105 0 0 0 0 0 0
115 0 0.000736071 0 0 0 0
125 0 0 0.000693318 0 0 0
135 0.00306354 0.00220821 0.00277327 0.00447157 0.00278 0.00127042
145 0.14322 0.142062 0.143517 0.120733 0.11676 0.0546279
155 0.38524 0.373924 0.391031 0.380829 0.325955 0.268693
165 0.538416 0.538068 0.606653 0.529136 0.567815 0.536116
175 0.601219 0.583704 0.59764 0.605898 0.63106 0.764791
185 0.49859 0.51525 0.494336 0.575343 0.551135 0.642831
195 0.353838 0.385701 0.380631 0.380084 0.30719 0.339201
205 0.186876 0.232598 0.175409 0.202711 0.15568 0.124501
215 0.0643343 0.0552053 0.0443723 0.0506778 0.031275 0.033666
225 0.000765884 0.00147214 0.00346659 0.000745262 0.000695 0.00127042
235 0 0 0 0 0 0
245 0 0 0 0 0 0
255 0 0 0 0 0 0
265 0 0 0 0 0 0
275 0 0 0 0 0 0
285 0 0 0 0 0 0
295 0 0 0 0 0 0
305 0 0 0 0 0 0
315 0.00306354 0.000736071 0.00277327 0.000745262 0.00139 0
325 0.0597389 0.0404839 0.0582387 0.0581305 0.04031 0.0311252
335 0.229765 0.173713 0.203142 0.201966 0.16819 0.137205
345 0.353838 0.379813 0.370925 0.362198 0.36696 0.362069
355 0.537651 0.504945 0.527615 0.517212 0.65191 0.671415
