# P(phi) [1/rad] at wide section, m=6 beta=3
# columns d033 d1 d2 d3 d5 d10 = delta values
phi_deg d0333333 d1 d2 d3 d5 d10
5 0.0606994 0.114998 0.234947 0.373795 0.652738 0.943461
15 0.099725 0.174514 0.327145 0.486799 0.684256 0.668382
25 0.149967 0.239424 0.383181 0.47734 0.492669 0.216163
35 0.221021 0.301894 0.386916 0.386423 0.253236 0.0403688
45 0.30113 0.342744 0.342652 0.267337 0.107061 0.00488726
55 0.384995 0.373025 0.286658 0.179959 0.042115 0.000390981
65 0.464153 0.389456 0.241487 0.117028 0.0185106 2.44363e-05
75 0.530641 0.39474 0.20465 0.0863832 0.0088005 0
85 0.564881 0.397335 0.18543 0.0734546 0.00654921 0
95 0.566335 0.400759 0.188658 0.0736859 0.00691305 0
105 0.529496 0.393067 0.209777 0.0835153 0.00864131 4.88726e-05
115 0.467729 0.386298 0.243534 0.11978 0.0173963 7.33089e-05
125 0.383233 0.373917 0.292945 0.179497 0.0429109 0.000562035
135 0.302609 0.343776 0.344235 0.273859 0.111132 0.0060602
145 0.214808 0.294109 0.38392 0.391188 0.261741 0.0479196
155 0.151986 0.235406 0.379658 0.488233 0.495579 0.261908
165 0.0982844 0.171419 0.328306 0.498849 0.683642 0.790416
175 0.0604936 0.114123 0.236719 0.382376 0.644733 1.10291
185 0.0369933 0.0666759 0.139795 0.232552 0.390224 0.676592
195 0.0207991 0.0362692 0.0714589 0.106944 0.151769 0.183126
205 0.0115508 0.0183378 0.0295794 0.0391095 0.0418876 0.0214795
215 0.00706166 0.0094894 0.0123001 0.0134374 0.00977833 0.00183272
225 0.00370448 0.00461181 0.0052534 0.00372361 0.00170552 4.88726e-05
235 0.00281695 0.00236062 0.00267944 0.00129517 0.000318364 0
245 0.00171075 0.00190726 0.00128698 0.000323793 6.82209e-05 0
255 0.00151781 0.00136009 0.000759527 0.000161896 0 0
265 0.00132486 0.0011256 0.000548547 0.00011564 2.27403e-05 0
275 0.00127341 0.0010318 0.000485253 0.000208152 0 0
285 0.00199373 0.00143826 0.000611841 0.000323793 0 0
295 0.00198087 0.00182909 0.000991605 0.000647585 2.27403e-05 2.44363e-05
305 0.00324142 0.00282962 0.00225748 0.00113327 0.000386585 0
315 0.00469491 0.00553418 0.00510571 0.0042093 0.001751 9.77452e-05
325 0.00724174 0.00956756 0.0131229 0.0139925 0.00950545 0.0016128
335 0.0121039 0.0188694 0.0313938 0.0392714 0.0417057 0.0201111
345 0.0210949 0.038239 0.0698132 0.10625 0.15311 0.156172
355 0.0362859 0.067098 0.141314 0.226377 0.3887 0.584907
