# P(phi|x) [1/rad]: each x column normalized over phi. blank line separates x scans (for surf)
x phi p
0.0050 0.08727 0.06285
0.0050 0.26180 0.09108
0.0050 0.43633 0.14479
0.0050 0.61087 0.21111
0.0050 0.78540 0.28328
0.0050 0.95993 0.37366
0.0050 1.13446 0.47388
0.0050 1.30900 0.54704
0.0050 1.48353 0.56772
0.0050 1.65806 0.58121
0.0050 1.83260 0.54677
0.0050 2.00713 0.47380
0.0050 2.18166 0.38688
0.0050 2.35619 0.29766
0.0050 2.53073 0.20685
0.0050 2.70526 0.14417
0.0050 2.87979 0.09614
0.0050 3.05433 0.06063
0.0050 3.22886 0.03462
0.0050 3.40339 0.02006
0.0050 3.57792 0.01181
0.0050 3.75246 0.00621
0.0050 3.92699 0.00479
0.0050 4.10152 0.00382
0.0050 4.27606 0.00284
0.0050 4.45059 0.00311
0.0050 4.62512 0.00266
0.0050 4.79966 0.00204
0.0050 4.97419 0.00222
0.0050 5.14872 0.00302
0.0050 5.32325 0.00435
0.0050 5.49779 0.00471
0.0050 5.67232 0.00657
0.0050 5.84685 0.01154
0.0050 6.02139 0.02042
0.0050 6.19592 0.03524

0.0150 0.08727 0.05844
0.0150 0.26180 0.09381
0.0150 0.43633 0.14445
0.0150 0.61087 0.20273
0.0150 0.78540 0.28768
0.0150 0.95993 0.37402
0.0150 1.13446 0.46431
0.0150 1.30900 0.53719
0.0150 1.48353 0.58192
0.0150 1.65806 0.60022
0.0150 1.83260 0.55795
0.0150 2.00713 0.46160
0.0150 2.18166 0.37747
0.0150 2.35619 0.29736
0.0150 2.53073 0.21873
0.0150 2.70526 0.14437
0.0150 2.87979 0.09004
0.0150 3.05433 0.05499
0.0150 3.22886 0.03308
0.0150 3.40339 0.01978
0.0150 3.57792 0.00952
0.0150 3.75246 0.00804
0.0150 3.92699 0.00451
0.0150 4.10152 0.00271
0.0150 4.27606 0.00345
0.0150 4.45059 0.00304
0.0150 4.62512 0.00337
0.0150 4.79966 0.00435
0.0150 4.97419 0.00402
0.0150 5.14872 0.00369
0.0150 5.32325 0.00435
0.0150 5.49779 0.00533
0.0150 5.67232 0.00772
0.0150 5.84685 0.01239
0.0150 6.02139 0.01970
0.0150 6.19592 0.03324

0.0250 0.08727 0.05652
0.0250 0.26180 0.08873
0.0250 0.43633 0.14245
0.0250 0.61087 0.20996
0.0250 0.78540 0.28982
0.0250 0.95993 0.38021
0.0250 1.13446 0.46295
0.0250 1.30900 0.53766
0.0250 1.48353 0.58789
0.0250 1.65806 0.59782
0.0250 1.83260 0.54539
0.0250 2.00713 0.46901
0.0250 2.18166 0.38263
0.0250 2.35619 0.29179
0.0250 2.53073 0.21655
0.0250 2.70526 0.14048
0.0250 2.87979 0.09274
0.0250 3.05433 0.05334
0.0250 3.22886 0.03311
0.0250 3.40339 0.02106
0.0250 3.57792 0.01008
0.0250 3.75246 0.00743
0.0250 3.92699 0.00477
0.0250 4.10152 0.00303
0.0250 4.27606 0.00349
0.0250 4.45059 0.00288
0.0250 4.62512 0.00379
0.0250 4.79966 0.00379
0.0250 4.97419 0.00386
0.0250 5.14872 0.00273
0.0250 5.32325 0.00349
0.0250 5.49779 0.00424
0.0250 5.67232 0.00758
0.0250 5.84685 0.01288
0.0250 6.02139 0.02129
0.0250 6.19592 0.03417

0.0350 0.08727 0.05441
0.0350 0.26180 0.09046
0.0350 0.43633 0.14112
0.0350 0.61087 0.20833
0.0350 0.78540 0.28870
0.0350 0.95993 0.38542
0.0350 1.13446 0.47226
0.0350 1.30900 0.55277
0.0350 1.48353 0.59348
0.0350 1.65806 0.59403
0.0350 1.83260 0.54352
0.0350 2.00713 0.46183
0.0350 2.18166 0.37206
0.0350 2.35619 0.28515
0.0350 2.53073 0.21689
0.0350 2.70526 0.14202
0.0350 2.87979 0.09331
0.0350 3.05433 0.05622
0.0350 3.22886 0.03270
0.0350 3.40339 0.01900
0.0350 3.57792 0.00960
0.0350 3.75246 0.00619
0.0350 3.92699 0.00536
0.0350 4.10152 0.00376
0.0350 4.27606 0.00397
0.0350 4.45059 0.00292
0.0350 4.62512 0.00355
0.0350 4.79966 0.00278
0.0350 4.97419 0.00181
0.0350 5.14872 0.00195
0.0350 5.32325 0.00348
0.0350 5.49779 0.00438
0.0350 5.67232 0.00779
0.0350 5.84685 0.01385
0.0350 6.02139 0.02248
0.0350 6.19592 0.03201

0.0450 0.08727 0.05613
0.0450 0.26180 0.09197
0.0450 0.43633 0.14446
0.0450 0.61087 0.20626
0.0450 0.78540 0.29721
0.0450 0.95993 0.38727
0.0450 1.13446 0.46687
0.0450 1.30900 0.53352
0.0450 1.48353 0.58805
0.0450 1.65806 0.58767
0.0450 1.83260 0.55361
0.0450 2.00713 0.47299
0.0450 2.18166 0.38000
0.0450 2.35619 0.28433
0.0450 2.53073 0.20645
0.0450 2.70526 0.14153
0.0450 2.87979 0.09159
0.0450 3.05433 0.05696
0.0450 3.22886 0.03553
0.0450 3.40339 0.02022
0.0450 3.57792 0.01110
0.0450 3.75246 0.00625
0.0450 3.92699 0.00536
0.0450 4.10152 0.00395
0.0450 4.27606 0.00319
0.0450 4.45059 0.00210
0.0450 4.62512 0.00236
0.0450 4.79966 0.00242
0.0450 4.97419 0.00236
0.0450 5.14872 0.00191
0.0450 5.32325 0.00408
