x,phi,count
0.005,0.08726646259971647,974
0.005,0.2617993877991494,1056
0.005,0.4363323129985824,1127
0.005,0.6108652381980153,1303
0.005,0.7853981633974483,1362
0.005,0.9599310885968811,1407
0.005,1.1344640137963142,1506
0.005,1.308996938995747,1565
0.005,1.4835298641951802,1566
0.005,1.658062789394613,1509
0.005,1.8325957145940461,1440
0.005,2.007128639793479,1522
0.005,2.181661564992912,1424
0.005,2.356194490192345,1367
0.005,2.530727415391778,1270
0.005,2.705260340591211,1159
0.005,2.879793265790644,1094
0.005,3.0543261909900767,1083
0.005,3.2288591161895095,958
0.005,3.4033920413889422,813
0.005,3.577924966588375,769
0.005,3.752457891787808,722
0.005,3.9269908169872414,637
0.005,4.101523742186675,632
0.005,4.276056667386107,605
0.005,4.4505895925855405,514
0.005,4.625122517784973,596
0.005,4.799655442984406,571
0.005,4.974188368183839,591
0.005,5.148721293383272,605
0.005,5.323254218582705,615
0.005,5.497787143782138,650
0.005,5.672320068981571,697
0.005,5.8468529941810035,783
0.005,6.021385919380437,800
0.005,6.19591884457987,889
0.015,0.08726646259971647,1092
0.015,0.2617993877991494,1182
0.015,0.4363323129985824,1255
0.015,0.6108652381980153,1340
0.015,0.7853981633974483,1443
0.015,0.9599310885968811,1474
0.015,1.1344640137963142,1600
0.015,1.308996938995747,1532
0.015,1.4835298641951802,1569
0.015,1.658062789394613,1609
0.015,1.8325957145940461,1561
0.015,2.007128639793479,1568
0.015,2.181661564992912,1449
0.015,2.356194490192345,1375
0.015,2.530727415391778,1318
0.015,2.705260340591211,1243
0.015,2.879793265790644,1241
0.015,3.0543261909900767,1095
0.015,3.2288591161895095,971
0.015,3.4033920413889422,979
0.015,3.577924966588375,855
0.015,3.752457891787808,762
0.015,3.9269908169872414,691
0.015,4.101523742186675,695
0.015,4.276056667386107,613
0.015,4.4505895925855405,649
0.015,4.625122517784973,636
0.015,4.799655442984406,606
0.015,4.974188368183839,639
0.015,5.148721293383272,631
0.015,5.323254218582705,646
0.015,5.497787143782138,687
0.015,5.672320068981571,739
0.015,5.8468529941810035,800
0.015,6.021385919380437,858
0.015,6.19591884457987,1028
0.025,0.08726646259971647,1105
0.025,0.2617993877991494,1185
0.025,0.4363323129985824,1332
0.025,0.6108652381980153,1437
0.025,0.7853981633974483,1459
0.025,0.9599310885968811,1520
0.025,1.1344640137963142,1592
0.025,1.308996938995747,1683
0.025,1.4835298641951802,1608
0.025,1.658062789394613,1672
0.025,1.8325957145940461,1652
0.025,2.007128639793479,1613
0.025,2.181661564992912,1530
0.025,2.356194490192345,1501
0.025,2.530727415391778,1446
0.025,2.705260340591211,1327
0.025,2.879793265790644,1228
0.025,3.0543261909900767,1119
0.025,3.2288591161895095,1072
0.025,3.4033920413889422,994
0.025,3.577924966588375,907
0.025,3.752457891787808,781
0.025,3.9269908169872414,746
0.025,4.101523742186675,659
0.025,4.276056667386107,696
0.025,4.4505895925855405,572
0.025,4.625122517784973,642
0.025,4.799655442984406,640
0.025,4.974188368183839,657
0.025,5.148721293383272,700
0.025,5.323254218582705,697
0.025,5.497787143782138,743
0.025,5.672320068981571,824
0.025,5.8468529941810035,881
0.025,6.021385919380437,1007
0.025,6.19591884457987,1009
0.035,0.08726646259971647,1247
0.035,0.2617993877991494,1325
0.035,0.4363323129985824,1374
0.035,0.6108652381980153,1538
0.035,0.7853981633974483,1589
0.035,0.9599310885968811,1684
0.035,1.1344640137963142,1765
0.035,1.308996938995747,1793
0.035,1.4835298641951802,1909
0.035,1.658062789394613,1882
0.035,1.8325957145940461,1830
0.035,2.007128639793479,1795
0.035,2.181661564992912,1713
0.035,2.356194490192345,1578
0.035,2.530727415391778,1511
0.035,2.705260340591211,1456
0.035,2.879793265790644,1211
0.035,3.0543261909900767,1176
0.035,3.2288591161895095,1150
0.035,3.4033920413889422,995
0.035,3.577924966588375,956
0.035,3.752457891787808,881
0.035,3.9269908169872414,747
0.035,4.101523742186675,743
0.035,4.276056667386107,690
0.035,4.4505895925855405,711
0.035,4.625122517784973,697
0.035,4.799655442984406,640
0.035,4.974188368183839,707
0.035,5.148721293383272,714
0.035,5.323254218582705,740
0.035,5.497787143782138,841
0.035,5.672320068981571,912
0.035,5.8468529941810035,939
0.035,6.021385919380437,1029
0.035,6.19591884457987,1128
0.045,0.08726646259971647,1195
0.045,0.2617993877991494,1374
0.045,0.4363323129985824,1486
0.045,0.6108652381980153,1546
0.045,0.7853981633974483,1647
0.045,0.9599310885968811,1735
0.045,1.1344640137963142,1824
0.045,1.308996938995747,1932
0.045,1.4835298641951802,1985
0.045,1.658062789394613,1993
0.045,1.8325957145940461,1938
0.045,2.007128639793479,1870
0.045,2.181661564992912,1850
0.045,2.356194490192345,1789
0.045,2.530727415391778,1633
0.045,2.705260340591211,1520
0.045,2.879793265790644,1359
0.045,3.0543261909900767,1300
0.045,3.2288591161895095,1270
0.045,3.4033920413889422,1079
0.045,3.577924966588375,959
0.045,3.752457891787808,957
0.045,3.9269908169872414,831
0.045,4.101523742186675,843
0.045,4.276056667386107,726
0.045,4.4505895925855405,741
0.045,4.625122517784973,778
0.045,4.799655442984406,769
0.045,4.974188368183839,691
0.045,5.148721293383272,814
0.045,5.323254218582705,800
0.045,5.497787143782138,811
0.045,5.672320068981571,940
0.045,5.8468529941810035,1042
0.045,6.021385919380437,1125
0.045,6.19591884457987,1163
0.055,0.08726646259971647,1307
0.055,0.2617993877991494,1382
0.055,0.4363323129985824,1503
0.055,0.6108652381980153,1639
0.055,0.7853981633974483,1802
0.055,0.9599310885968811,1896
0.055,1.1344640137963142,1983
0.055,1.308996938995747,1949
0.055,1.4835298641951802,2182
0.055,1.658062789394613,2090
0.055,1.8325957145940461,2122
0.055,2.007128639793479,2019
0.055,2.181661564992912,1970
0.055,2.356194490192345,1863
0.055,2.530727415391778,1825
0.055,2.705260340591211,1680
0.055,2.879793265790644,1573
0.055,3.0543261909900767,1422
0.055,3.2288591161895095,1210
0.055,3.4033920413889422,1134
0.055,3.577924966588375,1097
0.055,3.752457891787808,977
0.055,3.9269908169872414,893
0.055,4.101523742186675,881
0.055,4.276056667386107,761
0.055,4.4505895925855405,819
0.055,4.625122517784973,769
0.055,4.799655442984406,752
0.055,4.974188368183839,756
0.055,5.148721293383272,774
0.055,5.323254218582705,807
0.055,5.497787143782138,940
0.055,5.672320068981571,961
0.055,5.8468529941810035,1009
0.055,6.021385919380437,1138
0.055,6.19591884457987,1245
0.065,0.08726646259971647,1361
0.065,0.2617993877991494,1489
0.065,0.4363323129985824,1650
0.065,0.6108652381980153,1777
0.065,0.7853981633974483,1823
0.065,0.9599310885968811,2027
0.065,1.1344640137963142,2094
0.065,1.308996938995747,2121
0.065,1.4835298641951802,2170
0.065,1.658062789394613,2243
0.065,1.8325957145940461,2219
0.065,2.007128639793479,2206
0.065,2.181661564992912,2120
0.065,2.356194490192345,1919
0.065,2.530727415391778,1857
0.065,2.705260340591211,1715
0.065,2.879793265790644,1642
0.065,3.0543261909900767,1494
0.065,3.2288591161895095,1313
0.065,3.4033920413889422,1241
0.065,3.577924966588375,1091
0.065,3.752457891787808,1001
0.065,3.9269908169872414,929
0.065,4.101523742186675,887
0.065,4.276056667386107,819
0.065,4.4505895925855405,809
0.065,4.625122517784973,850
0.065,4.799655442984406,805
0.065,4.974188368183839,805
0.065,5.148721293383272,812
0.065,5.323254218582705,876
0.065,5.497787143782138,970
0.065,5.672320068981571,994
0.065,5.8468529941810035,1059
0.065,6.021385919380437,1203
0.065,6.19591884457987,1261
0.075,0.08726646259971647,1484
