x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,4
0.005,-1.0421874999999998,42
0.005,-0.9703124999999999,131
0.005,-0.8984375,250
0.005,-0.8265624999999999,257
0.005,-0.7546875,301
0.005,-0.6828125,445
0.005,-0.6109374999999999,512
0.005,-0.5390625,471
0.005,-0.46718749999999987,564
0.005,-0.39531249999999996,740
0.005,-0.32343750000000004,1122
0.005,-0.2515624999999999,1694
0.005,-0.1796875,2462
0.005,-0.10781250000000009,3387
0.005,-0.03593750000000018,4855
0.005,0.03593750000000018,5209
0.005,0.10781250000000009,4016
0.005,0.1796875,2369
0.005,0.2515624999999999,1335
0.005,0.3234374999999998,1070
0.005,0.3953125000000002,773
0.005,0.4671875000000001,673
0.005,0.5390625,652
0.005,0.6109374999999999,572
0.005,0.6828124999999998,584
0.005,0.7546874999999997,420
0.005,0.8265625000000001,423
0.005,0.8984375,464
0.005,0.9703124999999999,296
0.005,1.0421874999999998,85
0.005,1.1140624999999997,3
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,0
0.015,-1.1859374999999999,12
0.015,-1.1140625,90
0.015,-1.0421874999999998,165
0.015,-0.9703124999999999,319
0.015,-0.8984375,321
0.015,-0.8265624999999999,335
0.015,-0.7546875,358
0.015,-0.6828125,514
0.015,-0.6109374999999999,593
0.015,-0.5390625,576
0.015,-0.46718749999999987,602
0.015,-0.39531249999999996,777
0.015,-0.32343750000000004,1169
0.015,-0.2515624999999999,1760
0.015,-0.1796875,2576
0.015,-0.10781250000000009,3360
0.015,-0.03593750000000018,4533
0.015,0.03593750000000018,5127
0.015,0.10781250000000009,3933
0.015,0.1796875,2486
0.015,0.2515624999999999,1504
0.015,0.3234374999999998,1139
0.015,0.3953125000000002,955
0.015,0.4671875000000001,733
0.015,0.5390625,703
0.015,0.6109374999999999,712
0.015,0.6828124999999998,593
