x,phi,count
0.005,0.08726646259971647,1863
0.005,0.2617993877991494,1727
0.005,0.4363323129985824,1405
0.005,0.6108652381980153,1035
0.005,0.7853981633974483,761
0.005,0.9599310885968811,543
0.005,1.1344640137963142,369
0.005,1.308996938995747,298
0.005,1.4835298641951802,287
0.005,1.658062789394613,269
0.005,1.8325957145940461,293
0.005,2.007128639793479,403
0.005,2.181661564992912,574
0.005,2.356194490192345,834
0.005,2.530727415391778,1156
0.005,2.705260340591211,1556
0.005,2.879793265790644,1947
0.005,3.0543261909900767,1992
0.005,3.2288591161895095,1780
0.005,3.4033920413889422,1416
0.005,3.577924966588375,1051
0.005,3.752457891787808,627
0.005,3.9269908169872414,423
0.005,4.101523742186675,263
0.005,4.276056667386107,186
0.005,4.4505895925855405,124
0.005,4.625122517784973,114
0.005,4.799655442984406,113
0.005,4.974188368183839,134
0.005,5.148721293383272,145
0.005,5.323254218582705,236
0.005,5.497787143782138,365
0.005,5.672320068981571,631
0.005,5.8468529941810035,961
0.005,6.021385919380437,1399
0.005,6.19591884457987,1666
0.015,0.08726646259971647,1995
0.015,0.2617993877991494,1848
0.015,0.4363323129985824,1518
0.015,0.6108652381980153,1122
0.015,0.7853981633974483,809
0.015,0.9599310885968811,587
0.015,1.1344640137963142,394
0.015,1.308996938995747,343
0.015,1.4835298641951802,310
0.015,1.658062789394613,314
0.015,1.8325957145940461,373
0.015,2.007128639793479,428
0.015,2.181661564992912,610
0.015,2.356194490192345,885
0.015,2.530727415391778,1255
0.015,2.705260340591211,1705
0.015,2.879793265790644,2033
0.015,3.0543261909900767,2100
0.015,3.2288591161895095,2005
0.015,3.4033920413889422,1588
0.015,3.577924966588375,1087
0.015,3.752457891787808,638
0.015,3.9269908169872414,407
0.015,4.101523742186675,255
0.015,4.276056667386107,191
0.015,4.4505895925855405,114
0.015,4.625122517784973,113
0.015,4.799655442984406,104
0.015,4.974188368183839,137
0.015,5.148721293383272,170
0.015,5.323254218582705,253
0.015,5.497787143782138,427
0.015,5.672320068981571,650
0.015,5.8468529941810035,1040
0.015,6.021385919380437,1414
0.015,6.19591884457987,1814
0.025,0.08726646259971647,2028
0.025,0.2617993877991494,1975
0.025,0.4363323129985824,1581
0.025,0.6108652381980153,1210
0.025,0.7853981633974483,875
0.025,0.9599310885968811,609
0.025,1.1344640137963142,464
0.025,1.308996938995747,337
0.025,1.4835298641951802,313
0.025,1.658062789394613,315
0.025,1.8325957145940461,371
0.025,2.007128639793479,504
0.025,2.181661564992912,648
0.025,2.356194490192345,966
0.025,2.530727415391778,1306
0.025,2.705260340591211,1813
0.025,2.879793265790644,2047
0.025,3.0543261909900767,2245
0.025,3.2288591161895095,2077
0.025,3.4033920413889422,1598
0.025,3.577924966588375,1111
0.025,3.752457891787808,719
0.025,3.9269908169872414,420
0.025,4.101523742186675,253
0.025,4.276056667386107,187
0.025,4.4505895925855405,121
0.025,4.625122517784973,111
0.025,4.799655442984406,107
0.025,4.974188368183839,129
0.025,5.148721293383272,160
0.025,5.323254218582705,271
0.025,5.497787143782138,423
0.025,5.672320068981571,752
0.025,5.8468529941810035,1115
0.025,6.021385919380437,1480
0.025,6.19591884457987,1836
0.035,0.08726646259971647,2185
0.035,0.2617993877991494,2065
0.035,0.4363323129985824,1726
0.035,0.6108652381980153,1295
0.035,0.7853981633974483,901
0.035,0.9599310885968811,621
0.035,1.1344640137963142,462
0.035,1.308996938995747,359
0.035,1.4835298641951802,338
0.035,1.658062789394613,341
0.035,1.8325957145940461,387
0.035,2.007128639793479,510
0.035,2.181661564992912,661
0.035,2.356194490192345,951
0.035,2.530727415391778,1417
0.035,2.705260340591211,1820
0.035,2.879793265790644,2184
0.035,3.0543261909900767,2352
0.035,3.2288591161895095,2009
0.035,3.4033920413889422,1726
0.035,3.577924966588375,1177
0.035,3.752457891787808,768
0.035,3.9269908169872414,482
0.035,4.101523742186675,281
0.035,4.276056667386107,200
0.035,4.4505895925855405,140
0.035,4.625122517784973,100
0.035,4.799655442984406,119
0.035,4.974188368183839,115
0.035,5.148721293383272,158
0.035,5.323254218582705,274
0.035,5.497787143782138,490
0.035,5.672320068981571,743
0.035,5.8468529941810035,1204
0.035,6.021385919380437,1541
0.035,6.19591884457987,1942
0.045,0.08726646259971647,2362
0.045,0.2617993877991494,2292
0.045,0.4363323129985824,1827
0.045,0.6108652381980153,1380
0.045,0.7853981633974483,945
0.045,0.9599310885968811,686
0.045,1.1344640137963142,501
0.045,1.308996938995747,397
0.045,1.4835298641951802,330
0.045,1.658062789394613,378
0.045,1.8325957145940461,412
0.045,2.007128639793479,571
0.045,2.181661564992912,732
0.045,2.356194490192345,1052
0.045,2.530727415391778,1471
0.045,2.705260340591211,1899
0.045,2.879793265790644,2418
0.045,3.0543261909900767,2468
0.045,3.2288591161895095,2199
0.045,3.4033920413889422,1803
0.045,3.577924966588375,1248
0.045,3.752457891787808,802
0.045,3.9269908169872414,461
0.045,4.101523742186675,300
0.045,4.276056667386107,225
0.045,4.4505895925855405,155
0.045,4.625122517784973,146
0.045,4.799655442984406,140
0.045,4.974188368183839,175
0.045,5.148721293383272,205
0.045,5.323254218582705,318
0.045,5.497787143782138,516
0.045,5.672320068981571,760
0.045,5.8468529941810035,1201
0.045,6.021385919380437,1835
0.045,6.19591884457987,2216
0.055,0.08726646259971647,2499
0.055,0.2617993877991494,2413
0.055,0.4363323129985824,1912
0.055,0.6108652381980153,1426
0.055,0.7853981633974483,1016
0.055,0.9599310885968811,711
0.055,1.1344640137963142,511
0.055,1.308996938995747,392
0.055,1.4835298641951802,355
0.055,1.658062789394613,398
0.055,1.8325957145940461,420
0.055,2.007128639793479,574
0.055,2.181661564992912,798
0.055,2.356194490192345,1082
0.055,2.530727415391778,1544
0.055,2.705260340591211,2030
0.055,2.879793265790644,2626
0.055,3.0543261909900767,2803
0.055,3.2288591161895095,2516
0.055,3.4033920413889422,2013
0.055,3.577924966588375,1502
0.055,3.752457891787808,912
0.055,3.9269908169872414,575
0.055,4.101523742186675,374
0.055,4.276056667386107,262
0.055,4.4505895925855405,153
0.055,4.625122517784973,157
0.055,4.799655442984406,130
0.055,4.974188368183839,193
0.055,5.148721293383272,232
0.055,5.323254218582705,322
0.055,5.497787143782138,530
0.055,5.672320068981571,865
0.055,5.8468529941810035,1326
0.055,6.021385919380437,1851
0.055,6.19591884457987,2324
0.065,0.08726646259971647,2817
0.065,0.2617993877991494,2542
0.065,0.4363323129985824,2148
0.065,0.6108652381980153,1561
0.065,0.7853981633974483,1120
0.065,0.9599310885968811,767
0.065,1.1344640137963142,561
0.065,1.308996938995747,475
0.065,1.4835298641951802,415
0.065,1.658062789394613,398
0.065,1.8325957145940461,431
0.065,2.007128639793479,604
0.065,2.181661564992912,799
0.065,2.356194490192345,1191
0.065,2.530727415391778,1672
0.065,2.705260340591211,2207
0.065,2.879793265790644,2816
0.065,3.0543261909900767,2899
0.065,3.2288591161895095,2713
0.065,3.4033920413889422,2130
0.065,3.577924966588375,1570
0.065,3.752457891787808,1002
0.065,3.9269908169872414,629
0.065,4.101523742186675,328
0.065,4.276056667386107,241
0.065,4.4505895925855405,206
0.065,4.625122517784973,169
0.065,4.799655442984406,147
0.065,4.974188368183839,194
0.065,5.148721293383272,267
0.065,5.323254218582705,372
0.065,5.497787143782138,621
0.065,5.672320068981571,975
0.065,5.8468529941810035,1496
0.065,6.021385919380437,2094
0.065,6.19591884457987,2464
0.075,0.08726646259971647,3201
0.075,0.2617993877991494,2885
0.075,0.4363323129985824,2379
0.075,0.6108652381980153,1773
0.075,0.7853981633974483,1332
0.075,0.9599310885968811,876
0.075,1.1344640137963142,662
0.075,1.308996938995747,468
0.075,1.4835298641951802,475
0.075,1.658062789394613,467
0.075,1.8325957145940461,469
0.075,2.007128639793479,692
0.075,2.181661564992912,867
0.075,2.356194490192345,1274
0.075,2.530727415391778,1886
0.075,2.705260340591211,2498
0.075,2.879793265790644,2920
0.075,3.0543261909900767,3142
0.075,3.2288591161895095,2970
0.075,3.4033920413889422,2296
0.075,3.577924966588375,1631
0.075,3.752457891787808,1086
0.075,3.9269908169872414,670
0.075,4.101523742186675,413
0.075,4.276056667386107,268
0.075,4.4505895925855405,219
0.075,4.625122517784973,157
0.075,4.799655442984406,196
0.075,4.974188368183839,229
0.075,5.148721293383272,288
