x,phi,count
0.005,0.08726646259971647,710
0.005,0.2617993877991494,928
0.005,0.4363323129985824,1327
0.005,0.6108652381980153,1732
0.005,0.7853981633974483,2169
0.005,0.9599310885968811,2597
0.005,1.1344640137963142,2874
0.005,1.308996938995747,3169
0.005,1.4835298641951802,3206
0.005,1.658062789394613,3230
0.005,1.8325957145940461,3067
0.005,2.007128639793479,2847
0.005,2.181661564992912,2462
0.005,2.356194490192345,2129
0.005,2.530727415391778,1642
0.005,2.705260340591211,1324
0.005,2.879793265790644,993
0.005,3.0543261909900767,720
0.005,3.2288591161895095,505
0.005,3.4033920413889422,338
0.005,3.577924966588375,252
0.005,3.752457891787808,204
0.005,3.9269908169872414,130
0.005,4.101523742186675,131
0.005,4.276056667386107,108
0.005,4.4505895925855405,74
0.005,4.625122517784973,62
0.005,4.799655442984406,57
0.005,4.974188368183839,82
0.005,5.148721293383272,109
0.005,5.323254218582705,116
0.005,5.497787143782138,118
0.005,5.672320068981571,175
0.005,5.8468529941810035,275
0.005,6.021385919380437,315
0.005,6.19591884457987,495
0.015,0.08726646259971647,753
0.015,0.2617993877991494,1067
0.015,0.4363323129985824,1381
0.015,0.6108652381980153,1780
0.015,0.7853981633974483,2327
0.015,0.9599310885968811,2672
0.015,1.1344640137963142,3108
0.015,1.308996938995747,3478
0.015,1.4835298641951802,3564
0.015,1.658062789394613,3486
0.015,1.8325957145940461,3416
0.015,2.007128639793479,2988
0.015,2.181661564992912,2688
0.015,2.356194490192345,2310
0.015,2.530727415391778,1798
0.015,2.705260340591211,1373
0.015,2.879793265790644,1054
0.015,3.0543261909900767,775
0.015,3.2288591161895095,548
0.015,3.4033920413889422,365
0.015,3.577924966588375,244
0.015,3.752457891787808,194
0.015,3.9269908169872414,145
0.015,4.101523742186675,103
0.015,4.276056667386107,99
0.015,4.4505895925855405,68
0.015,4.625122517784973,66
0.015,4.799655442984406,55
0.015,4.974188368183839,73
0.015,5.148721293383272,92
0.015,5.323254218582705,102
0.015,5.497787143782138,160
0.015,5.672320068981571,189
0.015,5.8468529941810035,273
0.015,6.021385919380437,376
0.015,6.19591884457987,533
0.025,0.08726646259971647,795
0.025,0.2617993877991494,1122
0.025,0.4363323129985824,1513
0.025,0.6108652381980153,1961
0.025,0.7853981633974483,2365
0.025,0.9599310885968811,2788
0.025,1.1344640137963142,3183
0.025,1.308996938995747,3637
0.025,1.4835298641951802,3766
0.025,1.658062789394613,3702
0.025,1.8325957145940461,3593
0.025,2.007128639793479,3394
0.025,2.181661564992912,2854
0.025,2.356194490192345,2435
0.025,2.530727415391778,1900
0.025,2.705260340591211,1489
0.025,2.879793265790644,1091
0.025,3.0543261909900767,804
0.025,3.2288591161895095,580
0.025,3.4033920413889422,381
0.025,3.577924966588375,271
0.025,3.752457891787808,204
0.025,3.9269908169872414,164
0.025,4.101523742186675,117
0.025,4.276056667386107,106
0.025,4.4505895925855405,80
0.025,4.625122517784973,73
0.025,4.799655442984406,58
0.025,4.974188368183839,61
0.025,5.148721293383272,74
0.025,5.323254218582705,113
0.025,5.497787143782138,135
0.025,5.672320068981571,220
0.025,5.8468529941810035,304
0.025,6.021385919380437,394
0.025,6.19591884457987,603
0.035,0.08726646259971647,835
0.035,0.2617993877991494,1243
0.035,0.4363323129985824,1611
0.035,0.6108652381980153,2086
0.035,0.7853981633974483,2539
0.035,0.9599310885968811,2967
0.035,1.1344640137963142,3529
0.035,1.308996938995747,3713
0.035,1.4835298641951802,4033
0.035,1.658062789394613,3944
0.035,1.8325957145940461,3922
0.035,2.007128639793479,3518
0.035,2.181661564992912,3012
0.035,2.356194490192345,2572
0.035,2.530727415391778,2111
0.035,2.705260340591211,1523
0.035,2.879793265790644,1167
0.035,3.0543261909900767,847
0.035,3.2288591161895095,624
0.035,3.4033920413889422,443
0.035,3.577924966588375,295
0.035,3.752457891787808,200
0.035,3.9269908169872414,146
0.035,4.101523742186675,141
0.035,4.276056667386107,102
0.035,4.4505895925855405,80
0.035,4.625122517784973,80
0.035,4.799655442984406,88
0.035,4.974188368183839,76
0.035,5.148721293383272,91
0.035,5.323254218582705,132
0.035,5.497787143782138,149
0.035,5.672320068981571,200
0.035,5.8468529941810035,322
0.035,6.021385919380437,426
0.035,6.19591884457987,577
0.045,0.08726646259971647,942
0.045,0.2617993877991494,1279
0.045,0.4363323129985824,1750
0.045,0.6108652381980153,2207
0.045,0.7853981633974483,2692
0.045,0.9599310885968811,3305
0.045,1.1344640137963142,3735
0.045,1.308996938995747,4121
0.045,1.4835298641951802,4244
0.045,1.658062789394613,4147
0.045,1.8325957145940461,4069
0.045,2.007128639793479,3701
0.045,2.181661564992912,3288
0.045,2.356194490192345,2844
0.045,2.530727415391778,2259
0.045,2.705260340591211,1742
0.045,2.879793265790644,1282
0.045,3.0543261909900767,934
0.045,3.2288591161895095,687
0.045,3.4033920413889422,488
0.045,3.577924966588375,325
0.045,3.752457891787808,231
0.045,3.9269908169872414,170
0.045,4.101523742186675,111
0.045,4.276056667386107,113
0.045,4.4505895925855405,89
0.045,4.625122517784973,81
0.045,4.799655442984406,79
0.045,4.974188368183839,87
0.045,5.148721293383272,94
0.045,5.323254218582705,124
0.045,5.497787143782138,159
0.045,5.672320068981571,209
0.045,5.8468529941810035,296
0.045,6.021385919380437,437
0.045,6.19591884457987,643
0.055,0.08726646259971647,1040
0.055,0.2617993877991494,1424
0.055,0.4363323129985824,1779
0.055,0.6108652381980153,2432
0.055,0.7853981633974483,2911
0.055,0.9599310885968811,3643
0.055,1.1344640137963142,4029
0.055,1.308996938995747,4321
