x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,0
0.005,-1.0421874999999998,0
0.005,-0.9703124999999999,38
0.005,-0.8984375,136
0.005,-0.8265624999999999,301
0.005,-0.7546875,357
0.005,-0.6828125,283
0.005,-0.6109374999999999,290
0.005,-0.5390625,277
0.005,-0.46718749999999987,275
0.005,-0.39531249999999996,434
0.005,-0.32343750000000004,526
0.005,-0.2515624999999999,885
0.005,-0.1796875,1594
0.005,-0.10781250000000009,2837
0.005,-0.03593750000000018,5013
0.005,0.03593750000000018,4793
0.005,0.10781250000000009,3081
0.005,0.1796875,1374
0.005,0.2515624999999999,801
0.005,0.3234374999999998,546
0.005,0.3953125000000002,470
0.005,0.4671875000000001,310
0.005,0.5390625,201
0.005,0.6109374999999999,354
0.005,0.6828124999999998,220
0.005,0.7546874999999997,156
0.005,0.8265625000000001,199
0.005,0.8984375,198
0.005,0.9703124999999999,36
0.005,1.0421874999999998,0
0.005,1.1140624999999997,0
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,0
0.015,-1.1859374999999999,0
0.015,-1.1140625,2
0.015,-1.0421874999999998,87
0.015,-0.9703124999999999,311
0.015,-0.8984375,279
0.015,-0.8265624999999999,307
0.015,-0.7546875,379
0.015,-0.6828125,270
0.015,-0.6109374999999999,305
0.015,-0.5390625,327
0.015,-0.46718749999999987,299
0.015,-0.39531249999999996,417
0.015,-0.32343750000000004,619
0.015,-0.2515624999999999,889
0.015,-0.1796875,1627
0.015,-0.10781250000000009,2946
0.015,-0.03593750000000018,4906
0.015,0.03593750000000018,4461
0.015,0.10781250000000009,3056
0.015,0.1796875,1431
0.015,0.2515624999999999,897
0.015,0.3234374999999998,645
0.015,0.3953125000000002,538
0.015,0.4671875000000001,316
0.015,0.5390625,190
0.015,0.6109374999999999,314
0.015,0.6828124999999998,227
0.015,0.7546874999999997,247
