x,phi,count
0.005,0.08726646259971647,1867
0.005,0.2617993877991494,2241
0.005,0.4363323129985824,2453
0.005,0.6108652381980153,1865
0.005,0.7853981633974483,1315
0.005,0.9599310885968811,884
0.005,1.1344640137963142,551
0.005,1.308996938995747,410
0.005,1.4835298641951802,363
0.005,1.658062789394613,346
0.005,1.8325957145940461,399
0.005,2.007128639793479,620
0.005,2.181661564992912,895
0.005,2.356194490192345,1345
0.005,2.530727415391778,1876
0.005,2.705260340591211,2464
0.005,2.879793265790644,2371
0.005,3.0543261909900767,1894
0.005,3.2288591161895095,1076
0.005,3.4033920413889422,505
0.005,3.577924966588375,222
0.005,3.752457891787808,70
0.005,3.9269908169872414,20
0.005,4.101523742186675,2
0.005,4.276056667386107,3
0.005,4.4505895925855405,3
0.005,4.625122517784973,0
0.005,4.799655442984406,0
0.005,4.974188368183839,4
0.005,5.148721293383272,3
0.005,5.323254218582705,12
0.005,5.497787143782138,27
0.005,5.672320068981571,68
0.005,5.8468529941810035,192
0.005,6.021385919380437,511
0.005,6.19591884457987,1071
0.015,0.08726646259971647,1944
0.015,0.2617993877991494,2305
0.015,0.4363323129985824,2340
0.015,0.6108652381980153,1886
0.015,0.7853981633974483,1366
0.015,0.9599310885968811,885
0.015,1.1344640137963142,613
0.015,1.308996938995747,449
0.015,1.4835298641951802,379
0.015,1.658062789394613,363
0.015,1.8325957145940461,419
0.015,2.007128639793479,559
0.015,2.181661564992912,866
0.015,2.356194490192345,1445
0.015,2.530727415391778,1988
0.015,2.705260340591211,2551
0.015,2.879793265790644,2525
0.015,3.0543261909900767,1895
0.015,3.2288591161895095,1171
0.015,3.4033920413889422,552
0.015,3.577924966588375,189
0.015,3.752457891787808,55
0.015,3.9269908169872414,16
0.015,4.101523742186675,6
0.015,4.276056667386107,3
0.015,4.4505895925855405,4
0.015,4.625122517784973,1
0.015,4.799655442984406,4
0.015,4.974188368183839,5
0.015,5.148721293383272,2
0.015,5.323254218582705,7
0.015,5.497787143782138,14
0.015,5.672320068981571,57
0.015,5.8468529941810035,201
0.015,6.021385919380437,504
0.015,6.19591884457987,1131
0.025,0.08726646259971647,2035
0.025,0.2617993877991494,2537
0.025,0.4363323129985824,2538
0.025,0.6108652381980153,1950
0.025,0.7853981633974483,1419
0.025,0.9599310885968811,913
0.025,1.1344640137963142,663
0.025,1.308996938995747,493
0.025,1.4835298641951802,394
0.025,1.658062789394613,373
0.025,1.8325957145940461,464
0.025,2.007128639793479,666
0.025,2.181661564992912,973
0.025,2.356194490192345,1493
0.025,2.530727415391778,2165
0.025,2.705260340591211,2615
0.025,2.879793265790644,2602
0.025,3.0543261909900767,2155
0.025,3.2288591161895095,1171
0.025,3.4033920413889422,631
0.025,3.577924966588375,193
0.025,3.752457891787808,76
0.025,3.9269908169872414,20
0.025,4.101523742186675,9
0.025,4.276056667386107,3
0.025,4.4505895925855405,2
0.025,4.625122517784973,1
0.025,4.799655442984406,0
0.025,4.974188368183839,0
0.025,5.148721293383272,1
0.025,5.323254218582705,17
0.025,5.497787143782138,27
0.025,5.672320068981571,64
0.025,5.8468529941810035,197
0.025,6.021385919380437,557
0.025,6.19591884457987,1198
0.035,0.08726646259971647,2126
0.035,0.2617993877991494,2763
0.035,0.4363323129985824,2685
0.035,0.6108652381980153,2236
0.035,0.7853981633974483,1536
0.035,0.9599310885968811,1023
0.035,1.1344640137963142,722
0.035,1.308996938995747,485
0.035,1.4835298641951802,418
0.035,1.658062789394613,437
0.035,1.8325957145940461,508
0.035,2.007128639793479,722
0.035,2.181661564992912,1028
0.035,2.356194490192345,1580
